Name,Age,Member ID,Ticket ID,Ticket Type,Gift Type
Aimee Norton,20,akfx9,57823,Premium,Flask
Hope Haines,21,bg9y4,73649,Premium,Flask
Riya Roman,22,up2ya,41236,Normal,Keychain
Princess Melton,19,2ftvh,83746,Normal,Keychain
Gethin Chavez,18,g4cas,47253,Premium,Flask
Selina Ray,17,wsetx,86543,Normal,Keychain
Chester Huffman,30,ih2ux,71321,Normal,Keychain
Everett Oconnell,35,qmkw1,46371,Normal,Keychain
Lee Warner,40,k35d1,12568,Premium,Flask
Frank Mejia,41,acd1e,53760,Normal,Keychain
Elise Barrera,22,pkfu0,86752,Premium,Flask
Antony Ward,50,2lebo,35167,Normal,Keychain
Ali Ferguson,31,o1rcn,43629,Premium,Flask
Alia Randall,15,v81xz,54271,Normal,Keychain
Aron Schultz,60,yfk32,72468,Premium,Flask
Edmund Vega,26,tbr0x,86742,Premium,Flask
Cora Levy,43,89im5,48576,Normal,Keychain
Bushra Hayes,55,mjnce,46125,Normal,Keychain
Duane Lanjuat,20,6ahqf,14632,Normal,Keychain
Effie Lopez,21,obsvj,25369,Premium,Flask
